RPT_TREATMENT_ID,ORGAN_ID,CLASS1,CLASS2,CLASS3,DISP_NAME,LOCAL_DISP_NAME,SINGULAR,LOCAL_SINGULAR
15236,1019,202,1,0,En bloc resection,Cắt bỏ en bloc,En bloc resection,Cắt bỏ en bloc
15237,1019,206,0,0,Result,Kết quả,Result,Kết quả
15238,1019,206,1,0,En bloc resection,Cắt bỏ en bloc,En bloc resection,Cắt bỏ en bloc
15239,1019,206,2,0,complete piece-meal resection,Hoàn thành cắt bỏ mảnh vụn,complete piece-meal resection,Hoàn thành cắt bỏ mảnh vụn
15240,1019,206,3,0,partial resection,Cắt bỏ một phần,partial resection,Cắt bỏ một phần
15241,1019,206,4,0,failure,Thất bại,failure,Thất bại
15242,1019,202,0,0,Result,Kết quả,Result,Kết quả
15243,1019,108,0,0,Result,Kết quả,Result,Kết quả
15244,1019,108,1,0,En bloc resection,Cắt bỏ en bloc,En bloc resection,Cắt bỏ en bloc
15245,1019,108,2,0,complete piece-meal resection,Hoàn thành cắt bỏ mảnh vụn,complete piece-meal resection,Hoàn thành cắt bỏ mảnh vụn
15246,1019,108,3,0,partial resection,Cắt bỏ một phần,partial resection,Cắt bỏ một phần
15247,1019,108,4,0,failure,Thất bại,failure,Thất bại
15248,1019,214,2,0,Yes,Có,Yes,Có
15249,1019,214,1,0,No,Không ,No,Không 
15250,1019,218,0,0,Defect closure,Đóng kín khuyết tật,Defect closure,Đóng kín khuyết tật
15251,1019,218,1,0,No,Không ,No,Không 
15252,1019,218,2,0,Yes,Có,Yes,Có
15253,1019,214,0,0,Defect closure,Đóng kín khuyết tật,Defect closure,Đóng kín khuyết tật
15254,1019,210,0,0,Defect closure,Đóng kín khuyết tật,Defect closure,Đóng kín khuyết tật
15255,1019,210,1,0,No,Không ,No,Không 
15256,1019,210,2,0,Yes,Có,Yes,Có
15257,1019,226,2,0,OTSC,OTSC,OTSC,OTSC
15258,1019,226,1,0,TTS,TTS,TTS,TTS
15259,1019,230,0,0,Closure device,Thiết bị kín,Closure device,Thiết bị kín
15260,1019,230,1,0,TTS,TTS,TTS,TTS
15261,1019,230,2,0,OTSC,OTSC,OTSC,OTSC
15262,1019,226,0,0,Closure device,Thiết bị kín,Closure device,Thiết bị kín
15263,1019,222,0,0,Closure device,Thiết bị kín,Closure device,Thiết bị kín
15264,1019,222,1,0,TTS,TTS,TTS,TTS
15265,1019,222,2,0,OTSC,OTSC,OTSC,OTSC
15266,1019,242,1,0,[Free_Text],[Free_Text], $ , $ 
15267,1019,242,0,0,number of closure device,Số lượng thiết bị kín,number of closure device,Số lượng thiết bị kín
15268,1019,238,1,0,[Free_Text],[Free_Text], $ , $ 
15269,1019,238,0,0,number of closure device,Số lượng thiết bị kín,number of closure device,Số lượng thiết bị kín
15270,1019,234,1,0,[Free_Text],[Free_Text], $ , $ 
15271,1019,234,0,0,number of closure device,Số lượng thiết bị kín,number of closure device,Số lượng thiết bị kín
15272,1019,254,1,0, [Free_Text]  mm, [Free_Text]  mm,$ mm,$ mm
15273,1019,254,0,0,Specimen size,Kích thước Lấy mẫu,Specimen size,Kích thước Lấy mẫu
